L,precision,recall,f1,auc
4,0.6154662,0.29379015,0.418883104,0.574899299
8,0.695238095,0.282633833,0.411314623,0.588735079
12,0.737243913,0.292505353,0.417115097,0.593538844
16,0.74351585,0.296231263,0.412810304,0.591125135
20,0.75894577,0.28366167,0.411265398,0.596160297
24,0.773255814,0.284796574,0.41627543,0.601215605
28,0.729108346,0.312034261,0.432793581,0.595668662
32,0.703539823,0.340471092,0.458874459,0.59948581
36,0.681655312,0.331841542,0.44177618,0.586501552
40,0.733333333,0.30620985,0.432024169,0.598194682
44,0.71160274,0.309807281,0.429897297,0.591894137
48,0.670520231,0.372591006,0.479008947,0.596010392
52,0.674125887,0.328608137,0.440773323,0.585022126
56,0.654054054,0.388650964,0.487575554,0.592952726
60,0.655211768,0.353811563,0.4583894,0.584033553
64,0.680942184,0.340471092,0.453961456,0.591566063
68,0.715346535,0.309421842,0.431988042,0.593992864
72,0.715736041,0.301927195,0.424698795,0.59182949
76,0.694877506,0.334047109,0.451193059,0.594689869
80,0.68172043,0.339400428,0.453180843,0.591558715
84,0.688195991,0.330835118,0.446854664,0.591499924
88,0.697777778,0.336188437,0.453757225,0.596288516
92,0.690205011,0.324411135,0.441369264,0.590399865
96,0.702947846,0.331905782,0.450909091,0.596787104
100,0.697571744,0.338329764,0.455659697,0.596831197
