,year,ceremony,award_En,award_Ch,movie_En,movie_Ch,wonOscar
0,1929,1,"Best Picture, Production",最佳作品奖,Wings,翼,1
1,1929,1,"Best Picture, Production",最佳作品奖,7th Heaven,第七天堂,0
2,1929,1,"Best Picture, Production",最佳作品奖,The Racket,非法图利,0
3,1929,1,"Best Picture, Unique and Artistic Production",杰出艺术作品奖,Sunrise: A Song of Two Humans,日出,1
4,1929,1,"Best Picture, Unique and Artistic Production",杰出艺术作品奖,The Crowd,群众,0
5,1929,1,"Best Picture, Unique and Artistic Production",杰出艺术作品奖,Chang: A Drama of the Wilderness,象：一部荒野戏剧,0
6,1929,1,"Best Director, Comedy Picture",喜剧片最佳导演,Lewis Milestone,刘易斯·迈尔斯通,1
7,1929,1,"Best Director, Comedy Picture",喜剧片最佳导演,Ted Wilde,特德·怀尔德,0
8,1929,1,"Best Director, Dramatic Picture",剧情片最佳导演,Frank Borzage,弗兰克·鲍沙其,1
9,1929,1,"Best Director, Dramatic Picture",剧情片最佳导演,King Vidor,金·维多,0
10,1929,1,"Best Director, Dramatic Picture",剧情片最佳导演,Herbert Brenon,赫伯特·布雷农,0
11,1929,1,Best Performance by an Actor in a Leading Role,最佳男主角,Emil Jannings,埃米尔·雅宁斯,1
12,1929,1,Best Performance by an Actor in a Leading Role,最佳男主角,Emil Jannings,埃米尔·雅宁斯,1
13,1929,1,Best Performance by an Actor in a Leading Role,最佳男主角,Richard Barthelmess,理查德·巴塞尔梅斯,0
14,1929,1,Best Performance by an Actor in a Leading Role,最佳男主角,Richard Barthelmess,理查德·巴塞尔梅斯,0
15,1929,1,Best Performance by an Actress in a Leading Role,最佳女主角,Janet Gaynor,珍妮·盖诺,1
16,1929,1,Best Performance by an Actress in a Leading Role,最佳女主角,Janet Gaynor,珍妮·盖诺,1
17,1929,1,Best Performance by an Actress in a Leading Role,最佳女主角,Janet Gaynor,珍妮·盖诺,1
18,1929,1,Best Performance by an Actress in a Leading Role,最佳女主角,Gloria Swanson,葛洛丽亚·斯旺森,0
19,1929,1,Best Performance by an Actress in a Leading Role,最佳女主角,Louise Dresser,露易丝·德莱瑟,0
20,1929,1,"Best Writing, Original Story",最佳原创故事,Underworld,地下世界,1
21,1929,1,"Best Writing, Original Story",最佳原创故事,The Last Command,最后命令,0
22,1929,1,"Best Writing, Adapted Screenplay",最佳改编剧本,7th Heaven,第七天堂,1
23,1929,1,"Best Writing, Adapted Screenplay",最佳改编剧本,The Jazz Singer,爵士歌手,0
24,1929,1,"Best Writing, Adapted Screenplay",最佳改编剧本,Glorious Betsy,伟大的贝特西,0
25,1929,1,"Best Writing, Title Writing",最佳默片字幕对白,Joseph Farnham,约瑟夫·法纳姆,1
26,1929,1,"Best Writing, Title Writing",最佳默片字幕对白,George Marion Jr.,小乔治·马里昂,0
27,1929,1,"Best Writing, Title Writing",最佳默片字幕对白,Gerald C. Duffy,杰拉德·C·达菲,0
28,1929,1,Best Cinematography,最佳摄影,Sunrise: A Song of Two Humans,日出,1
29,1929,1,Best Cinematography,最佳摄影,Sadie Thompson,神女生涯恨事多,0
30,1929,1,Best Cinematography,最佳摄影,The Devil Dancer,魔鬼舞者,0
31,1929,1,Best Cinematography,最佳摄影,The Magic Flame,魔法火焰,0
32,1929,1,"Best Effects, Engineering Effects",最佳技术效果,Wings,翼,1
33,1929,1,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Tempest,暴风雨,1
34,1929,1,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,The Dove,勇气,1
35,1929,1,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,Sunrise: A Song of Two Humans,日出,0
36,1929,1,/ Best Production Design ( 最佳美术指导 Best Art Direction ),最佳艺术指导,7th Heaven,第七天堂,0
37,1930,2,Best Motion Picture of the Year,最佳影片,The Broadway Melody,百老汇旋律,1
38,1930,2,Best Motion Picture of the Year,最佳影片,In Old Arizona,亚利桑纳奇侠,0
39,1930,2,Best Motion Picture of the Year,最佳影片,The Patriot,爱国者,0
40,1930,2,Best Motion Picture of the Year,最佳影片,Alibi,不在场证明,0
41,1930,2,Best Motion Picture of the Year,最佳影片,The Hollywood Revue of 1929,1929好莱坞滑稽剧,0
42,1930,2,Best Achievement in Directing,最佳导演,Frank Lloyd,弗兰克·洛伊德,1
43,1930,2,Best Achievement in Directing,最佳导演,Irving Cummings,埃文·坎明斯,0
44,1930,2,Best Achievement in Directing,最佳导演,Harry Beaumont,哈里·博蒙特,0
45,1930,2,Best Achievement in Directing,最佳导演,Ernst Lubitsch,恩斯特·刘别谦,0
46,1930,2,Best Achievement in Directing,最佳导演,Lionel Barrymore,莱昂纳尔·巴里摩尔,0
47,1930,2,Best Achievement in Directing,最佳导演,Frank Lloyd,弗兰克·洛伊德,0
48,1930,2,Best Achievement in Directing,最佳导演,Frank Lloyd,弗兰克·洛伊德,0
49,1930,2,Best Performance by an Actor in a Leading Role,最佳男主角,Warner Baxter,沃纳·巴克斯特,1
50,1930,2,Best Performance by an Actor in a Leading Role,最佳男主角,Lewis Stone,刘易斯·斯通,0
51,1930,2,Best Performance by an Actor in a Leading Role,最佳男主角,Paul Muni,保罗·穆尼,0
52,1930,2,Best Performance by an Actor in a Leading Role,最佳男主角,George Bancroft,乔治·班克罗夫特,0
53,1930,2,Best Performance by an Actor in a Leading Role,最佳男主角,Chester Morris,切斯特·莫里斯,0
54,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Mary Pickford,玛丽·碧克馥,1
55,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Bessie Love,贝茜·洛芙,0
56,1930,2,Best Performance by an Actress in a Leading Role,最佳女主角,Corinne Griffith,科琳·格里菲斯,0
